,Winner
9287,white
9288,black
9289,black
9290,black
9291,black
9292,white
9293,black
9294,white
9295,white
9296,black
9297,black
9298,white
9299,white
9300,black
9301,white
9302,white
9303,black
9304,black
9305,black
9306,black
9307,black
9308,white
9309,black
9310,black
9311,black
9312,white
9313,black
9314,black
9315,white
9316,white
9317,white
9318,black
9319,black
9320,white
9321,white
9322,white
9323,black
9324,white
9325,white
9326,white
9327,black
9328,black
9329,white
9330,black
9331,white
9332,black
9333,black
9334,black
9335,white
9336,black
9337,white
9338,white
9339,white
9340,white
9341,black
9342,white
9343,black
9344,white
9345,black
9346,white
9347,white
9348,black
9349,white
9350,black
9351,black
9352,white
9353,white
9354,black
9355,black
9356,white
9357,white
9358,white
9359,white
9360,black
9361,black
9362,black
9363,white
9364,black
9365,white
9366,white
9367,white
9368,black
9369,black
9370,black
9371,black
9372,white
9373,black
9374,black
9375,white
9376,white
9377,white
9378,black
9379,black
9380,white
9381,white
9382,white
9383,black
9384,white
9385,draw
9386,white
9387,white
9388,white
9389,white
9390,black
9391,white
9392,white
9393,black
9394,white
9395,white
9396,white
9397,black
9398,black
9399,white
9400,black
9401,white
9402,white
9403,black
9404,white
9405,white
9406,white
9407,white
9408,white
9409,white
9410,white
9411,black
9412,white
9413,white
9414,black
9415,black
9416,white
9417,black
9418,white
9419,black
9420,black
9421,black
9422,black
9423,black
9424,black
9425,black
9426,black
9427,black
9428,white
9429,black
9430,white
9431,white
9432,black
9433,white
9434,white
9435,black
9436,black
9437,black
9438,black
9439,white
9440,black
9441,black
9442,white
9443,white
9444,black
9445,black
9446,black
9447,white
9448,white
9449,white
9450,black
9451,black
9452,white
9453,black
9454,black
9455,white
9456,white
9457,white
9458,draw
9459,black
9460,black
9461,white
9462,draw
9463,white
9464,black
9465,white
9466,black
9467,black
9468,black
9469,white
9470,black
9471,white
9472,white
9473,white
9474,black
9475,black
9476,white
9477,white
9478,white
9479,white
9480,white
9481,white
9482,white
9483,white
9484,white
9485,black
9486,black
9487,black
9488,white
9489,black
9490,white
9491,black
9492,black
9493,black
9494,black
9495,black
9496,black
9497,black
9498,white
9499,white
9500,black
9501,black
9502,white
9503,white
9504,white
9505,black
9506,black
9507,draw
9508,white
9509,white
9510,white
9511,black
9512,white
9513,black
9514,draw
9515,white
9516,white
9517,white
9518,draw
9519,white
9520,white
9521,white
9522,white
9523,black
9524,white
9525,black
9526,black
9527,white
9528,black
9529,white
9530,white
9531,white
9532,black
9533,black
9534,white
9535,white
9536,black
9537,white
9538,black
9539,black
9540,white
9541,white
9542,black
9543,white
9544,white
9545,black
9546,white
9547,white
9548,black
9549,black
9550,black
9551,black
9552,black
9553,white
9554,black
9555,white
9556,black
9557,white
9558,white
9559,black
9560,black
9561,black
9562,black
9563,black
9564,white
9565,white
9566,white
9567,black
9568,black
9569,black
9570,black
9571,black
9572,black
9573,black
9574,white
9575,white
9576,white
9577,white
9578,white
9579,white
9580,white
9581,black
9582,white
9583,white
9584,white
9585,black
9586,black
9587,black
9588,white
9589,white
9590,white
9591,black
9592,white
9593,white
9594,black
9595,white
9596,black
9597,black
9598,black
9599,white
9600,white
9601,black
9602,white
9603,white
9604,white
9605,white
9606,white
9607,black
9608,black
9609,black
9610,black
9611,black
9612,white
9613,draw
9614,white
9615,white
9616,black
9617,black
9618,black
9619,black
9620,black
9621,black
9622,black
9623,black
9624,white
9625,white
9626,white
9627,black
9628,black
9629,black
9630,black
9631,white
9632,white
9633,white
9634,black
9635,white
9636,white
9637,black
9638,white
9639,black
9640,black
9641,white
9642,black
9643,black
9644,white
9645,black
9646,white
9647,white
9648,white
9649,black
9650,white
9651,black
9652,white
9653,black
9654,draw
9655,white
9656,black
9657,white
9658,black
9659,black
9660,draw
9661,black
9662,black
9663,white
9664,white
9665,black
9666,white
9667,white
9668,black
9669,white
9670,black
9671,white
9672,white
9673,black
9674,white
9675,white
9676,black
9677,white
9678,draw
9679,white
9680,black
9681,black
9682,white
9683,white
9684,black
9685,black
9686,white
9687,white
9688,white
9689,black
9690,black
9691,white
9692,black
9693,draw
9694,black
9695,black
9696,black
9697,black
9698,black
9699,black
9700,white
9701,white
9702,white
9703,white
9704,black
9705,white
9706,white
9707,black
9708,white
9709,black
9710,white
9711,white
9712,white
9713,black
9714,white
9715,white
9716,black
9717,black
9718,black
9719,white
9720,black
9721,white
9722,black
9723,draw
9724,white
9725,black
9726,white
9727,white
9728,white
9729,black
9730,white
9731,white
9732,white
9733,black
9734,white
9735,black
9736,white
9737,white
9738,black
9739,black
9740,black
9741,black
9742,white
9743,black
9744,black
9745,white
9746,black
9747,white
9748,white
9749,white
9750,black
9751,white
9752,white
9753,white
9754,black
9755,black
9756,black
9757,white
9758,black
9759,white
9760,white
9761,white
9762,white
9763,white
9764,black
9765,white
9766,black
9767,white
9768,black
9769,white
9770,black
9771,white
9772,black
9773,white
9774,white
9775,white
9776,black
9777,black
9778,white
9779,black
9780,black
9781,white
9782,black
9783,black
9784,white
9785,black
9786,white
9787,white
9788,white
9789,black
9790,black
9791,black
9792,black
9793,white
9794,white
9795,black
9796,black
9797,white
9798,black
9799,black
9800,black
9801,black
9802,black
9803,white
9804,black
9805,white
9806,black
9807,white
9808,white
9809,black
9810,white
9811,black
9812,black
9813,white
9814,black
9815,white
9816,black
9817,white
9818,white
9819,white
9820,white
9821,black
9822,draw
9823,white
9824,white
9825,white
9826,white
9827,white
9828,draw
9829,white
9830,black
9831,white
9832,black
9833,black
9834,white
9835,white
9836,white
9837,white
9838,draw
9839,black
9840,black
9841,white
9842,white
9843,draw
9844,white
9845,white
9846,black
9847,black
9848,white
9849,white
9850,black
9851,black
9852,black
9853,white
9854,black
9855,white
9856,white
9857,white
9858,black
9859,white
9860,black
9861,white
9862,black
9863,white
9864,white
9865,black
9866,black
9867,white
9868,white
9869,white
9870,white
9871,white
9872,black
9873,white
9874,black
9875,white
9876,black
9877,black
9878,black
9879,black
9880,white
9881,black
9882,white
9883,white
9884,black
9885,white
9886,white
9887,black
9888,white
9889,black
9890,black
9891,black
9892,white
9893,black
9894,white
9895,black
9896,white
9897,black
9898,black
9899,white
9900,white
9901,white
9902,black
9903,black
9904,black
9905,white
9906,black
9907,white
9908,black
9909,white
9910,black
9911,white
9912,black
9913,black
9914,white
9915,black
9916,draw
9917,black
9918,black
9919,black
9920,black
9921,white
9922,black
9923,white
9924,white
9925,white
9926,black
9927,white
9928,black
9929,white
9930,black
9931,white
9932,black
9933,white
9934,black
9935,black
9936,black
9937,black
9939,black
9940,white
9941,black
9942,white
9943,white
9944,white
9945,black
9946,white
9947,white
9948,white
9949,white
9950,black
9951,white
9952,black
9953,black
9954,white
9955,draw
9956,white
9957,white
9958,white
9959,black
9960,black
9961,black
9962,white
9963,white
9964,black
9965,draw
9966,black
9967,white
9968,white
9969,black
9970,black
9971,white
9972,white
9973,black
9974,white
9975,white
9976,white
9977,white
9978,black
9979,white
9980,black
9981,white
9982,white
9983,black
9984,white
9985,black
9986,white
9987,white
9988,white
9989,white
9990,black
9991,black
9992,white
9993,white
9994,draw
9995,white
9996,white
9997,black
9998,black
9999,black
10000,draw
10001,black
10002,black
10003,black
10004,white
10005,white
10006,black
10007,white
10008,white
10009,black
10010,white
10011,white
10012,white
10013,white
10014,white
10015,black
10016,white
10017,white
10018,black
10019,white
10020,black
10021,black
10022,white
10023,white
10024,white
10025,white
10026,black
10027,white
10028,black
10029,white
10030,white
10031,white
10032,black
10033,white
10034,black
10035,white
10036,white
10037,white
10038,white
10039,draw
10040,white
10041,white
10042,white
10043,white
10044,black
10045,black
10046,black
10047,black
10048,black
10049,white
10050,black
10051,white
10052,black
10053,white
10054,black
10055,black
10056,white
10057,black
10058,white
10059,black
10060,white
10061,white
10062,white
10063,white
10064,white
10065,white
10066,black
10067,white
10068,black
10069,black
10070,white
10071,black
10072,white
10073,white
10074,white
10075,white
10076,white
10077,black
10078,white
10079,white
10080,black
10081,black
10082,white
10083,white
10084,black
10085,white
10086,white
10087,white
10088,black
10089,white
10090,black
10091,black
10092,white
10093,white
10094,black
10095,white
10096,black
10097,black
10098,black
10099,white
10100,white
10101,white
10102,black
10103,white
10104,white
10105,white
10106,white
10107,white
10108,white
10109,black
10110,black
10111,white
10112,black
10113,white
10114,black
10115,white
10116,black
10117,black
10118,white
10119,white
10120,white
10121,white
10122,white
10123,white
10124,white
10125,white
10126,white
10127,black
10128,black
10129,black
10130,white
10131,white
10132,white
10133,white
10134,white
10135,white
10136,black
10137,black
10138,black
10139,white
10140,white
10141,black
10142,white
10143,black
10144,black
10145,black
10146,white
10147,white
10148,white
10149,draw
10150,white
10151,white
10152,white
10153,white
10154,black
10155,white
10156,black
10157,white
10158,white
10159,white
10160,black
10161,black
10162,black
10163,white
10164,white
10165,white
10166,white
10167,white
10168,white
10169,white
10170,white
10171,white
10172,black
10173,white
10174,white
10175,black
10176,black
10177,black
10178,black
10179,black
10180,white
10181,draw
10182,white
10183,black
10184,black
10185,white
10186,white
10187,black
10188,black
10189,white
10190,white
10191,black
10192,black
10193,black
10194,black
10195,white
10196,black
10197,white
10198,black
10199,black
10200,white
10201,black
10202,white
10203,black
10204,white
10205,white
10206,white
10207,white
10208,black
10209,white
10210,black
10211,white
10212,white
10213,white
10214,white
10215,white
10216,black
10217,black
10218,black
10219,white
10220,black
10221,white
10222,black
10223,white
10224,white
10225,black
10226,white
10227,black
10228,white
10229,black
10230,black
10231,black
10232,white
10233,white
10234,white
10235,black
10236,black
10237,white
10238,black
10239,black
10240,white
10241,black
10242,white
10243,white
10244,black
10245,white
10246,white
10247,white
10248,black
10249,white
10250,white
10251,white
10252,black
10253,white
10254,draw
10255,white
10256,white
10257,white
10258,white
10259,black
10260,white
10261,white
10262,white
10263,white
10264,white
10265,black
10266,white
10267,white
10268,white
10269,white
10270,white
10271,black
10272,white
10273,white
10274,white
10275,white
10276,white
10277,black
10278,white
10279,white
10280,white
10281,black
10282,white
10283,black
10284,black
10285,white
10286,black
10287,white
10288,black
10289,black
10290,white
10291,black
10292,black
10293,black
10294,black
10295,white
10296,black
10297,white
10298,white
10299,black
10300,white
10301,draw
10302,white
10303,white
10304,white
10305,white
10306,black
10307,black
10308,white
10309,black
10310,white
10311,draw
10312,white
10313,white
10314,black
10315,white
10316,white
10317,black
10318,white
10319,white
10320,black
10321,black
10322,black
10323,white
10324,black
10325,black
10326,black
10327,white
10328,white
10329,black
10330,white
10331,black
10332,black
10333,white
10334,white
10335,black
10336,black
10337,draw
10338,white
10339,white
10340,white
10341,black
10342,black
10343,black
10344,white
10345,black
10346,black
10347,white
10348,black
10349,black
10350,black
10351,white
10352,white
10353,black
10354,white
10355,black
10356,white
10357,draw
10358,draw
10359,black
10360,white
10361,black
10362,black
10363,black
10364,black
10365,white
10366,black
10367,black
10368,black
10369,black
10370,draw
10371,white
10372,black
10373,black
10374,white
10375,black
10376,white
10377,white
10378,black
10379,white
10380,white
10381,black
10382,white
10383,white
10384,white
10385,white
10386,black
10387,white
10388,black
10389,draw
10390,black
10391,white
10392,white
10393,black
10394,white
10395,white
10396,white
10397,white
10398,white
10399,white
10400,white
10401,white
10402,white
10403,black
10404,white
10405,white
10406,black
10407,black
10408,black
10409,black
10410,black
10411,black
10412,black
10413,white
10414,draw
10415,white
10416,white
10417,black
10418,black
10419,black
10420,black
10421,black
10423,black
10424,white
10425,black
10426,black
10427,white
10428,black
10429,white
10430,white
10431,white
10432,black
10433,white
10434,black
10435,white
10436,white
10437,white
10438,black
10439,white
10440,white
10441,white
10442,black
10443,white
10444,white
10445,white
10446,white
10447,white
10448,white
10449,white
10450,black
10451,white
10452,white
10453,white
10454,black
10455,white
10456,black
10457,white
10458,white
10459,black
10460,black
10461,white
10462,white
10463,white
10464,white
10465,white
10466,black
10467,white
10468,white
10469,white
10470,black
10471,white
10472,black
10473,black
10474,white
10475,white
10476,white
10477,black
10478,white
10479,white
10480,white
10481,black
10482,black
10483,black
10484,white
10485,white
10486,white
10487,white
10488,white
10489,white
10490,black
10491,white
10492,black
10493,white
10494,white
10495,black
10496,white
10497,black
10498,black
10499,white
10500,white
10501,white
10502,white
10503,black
10504,black
10505,black
10506,white
10507,white
10508,black
10509,white
10510,black
10511,white
10512,white
10513,black
10514,white
10515,white
10516,white
10517,white
10518,white
10519,black
10520,draw
10521,white
10522,white
10523,draw
10524,black
10525,black
10526,white
10527,black
10528,white
10529,white
10530,white
10531,black
10532,black
10533,black
10534,black
10535,white
10536,white
10537,white
10538,white
10539,black
10540,black
10541,black
10542,white
10543,black
10544,white
10545,white
10546,black
10547,black
10548,white
10549,white
10550,black
10551,black
10552,black
10553,white
10554,white
10555,black
10556,black
10557,black
10558,white
10559,white
10560,white
10561,white
10562,white
10563,black
10564,white
10565,white
10566,black
10567,white
10568,white
10569,black
10570,draw
10571,black
10572,white
10573,white
10574,black
10575,black
10576,black
10577,white
10578,black
10579,white
10580,black
10581,white
10582,black
10583,white
10584,black
10585,white
10586,white
10587,black
10588,black
10589,draw
10590,white
10591,white
10592,black
10593,white
10594,white
10595,black
10596,white
10597,black
10598,white
10599,white
10600,black
10601,black
10602,black
10603,black
10604,white
10605,black
10606,black
10607,white
10608,white
10609,white
10610,black
10611,white
10612,white
10613,white
10614,white
10615,white
10616,black
10617,black
10618,black
10619,black
10620,white
10621,black
10622,black
10623,white
10624,draw
10625,draw
10626,black
10627,white
10628,white
10629,white
10630,black
10631,white
10632,black
10633,white
10634,white
10635,black
10636,white
10637,black
10638,white
10639,white
10640,black
10641,white
10642,black
10643,white
10644,black
10645,white
10646,black
10647,white
10648,black
10649,white
10650,black
10651,white
10652,black
10653,white
10654,black
10655,white
10656,black
10657,white
10658,black
10659,white
10660,black
10661,white
10662,black
10663,white
10664,black
10665,white
10666,black
10667,white
10668,black
10669,white
10670,black
10671,white
10672,black
10673,white
10674,white
10675,white
10676,black
10677,white
10678,white
10679,white
10680,white
10681,black
10682,white
10683,black
10684,white
10685,white
10686,white
10687,black
10688,white
10689,black
10690,white
10691,white
10692,white
10693,white
10694,white
10695,white
10696,white
10697,black
10698,black
10699,white
10700,white
10701,black
10702,white
10703,white
10704,black
10705,draw
10706,black
10707,black
10708,black
10709,draw
10710,black
10711,black
10712,white
10713,white
10714,black
10715,white
10716,draw
10717,white
10718,black
10719,white
10720,black
10721,black
10722,black
10723,white
10724,white
10725,black
10726,white
10727,white
10728,black
10729,black
10730,white
10731,black
10732,black
10733,white
10734,black
10735,black
10736,black
10737,white
10738,draw
10739,black
10740,draw
10741,black
10742,white
10743,black
10744,black
10745,black
10746,black
10747,white
10748,black
10749,black
10750,white
10751,white
10752,draw
10753,white
10754,white
10755,black
10756,draw
10757,black
10758,black
10759,black
10760,black
10761,white
10762,white
10763,black
10764,white
10765,white
10766,white
10767,draw
10768,white
10769,white
10770,white
10771,white
10772,white
10773,white
10774,white
10775,black
10776,black
10777,white
10778,white
10779,black
10780,black
10781,black
10782,white
10783,white
10784,black
10785,white
10786,white
10787,white
10788,white
10789,black
10790,white
10791,black
10792,white
10793,black
10794,white
10795,white
10796,black
10797,draw
10798,white
10799,black
10800,white
10801,white
10802,black
10803,white
10804,black
10805,white
10806,white
10807,draw
10808,white
10809,black
10810,black
10811,black
10812,white
10813,white
10814,white
10815,white
10816,white
10817,white
10818,black
10819,black
10820,white
10821,black
10822,white
10823,white
10824,draw
10825,white
10826,draw
10827,white
10828,white
10829,white
10830,white
10831,black
10832,white
10833,white
10834,draw
10835,black
10836,white
10837,black
10838,white
10839,white
10840,black
10841,white
10842,white
10843,black
10844,black
10845,white
10846,black
10847,black
10848,white
10849,white
10850,white
10851,black
10852,white
10853,white
10854,white
10855,white
10856,white
10857,white
10858,black
10859,black
10860,white
10861,white
10862,white
10863,black
10864,black
10865,black
10866,white
10867,white
10868,white
10869,draw
10870,black
10871,black
10872,black
10873,white
10874,white
10875,white
10876,white
10877,black
10878,black
10879,black
10880,white
10881,white
10882,white
10883,white
10884,white
10885,white
10886,black
10887,black
10888,black
10889,black
10890,black
10891,white
10892,black
10893,draw
10894,white
10895,black
10896,white
10897,white
10898,black
10899,white
10900,black
10901,black
10902,black
10903,white
10904,black
10905,black
10906,white
10907,white
10908,white
10909,black
10910,black
10911,black
10912,black
10913,black
10914,white
10915,black
10916,black
10917,white
10918,black
10919,white
10920,black
10921,black
10922,white
10923,white
10924,black
10925,white
10926,black
10927,white
10928,black
10929,white
10930,white
10931,white
10932,black
10933,black
10934,white
10935,black
10936,white
10937,black
10938,black
10939,black
10940,black
10941,black
10942,white
10943,white
10944,white
10945,draw
10946,white
10947,white
10948,white
10949,black
10950,white
10951,white
10952,white
10953,white
10954,black
10955,black
10956,white
10957,black
10958,draw
10959,white
10960,black
10961,black
10962,white
10963,black
10964,black
10965,black
10966,black
10967,black
10968,white
10969,white
10970,black
10971,white
10972,white
10973,black
10974,black
10975,white
10976,white
10977,black
10978,white
10979,draw
10980,black
10981,white
10982,black
10983,white
10984,white
10985,white
10987,black
10988,draw
10989,white
10990,draw
10991,black
10992,white
10993,black
10994,white
10995,black
10996,white
10997,black
10998,white
10999,black
11000,white
11001,white
11002,white
11003,white
11004,black
11005,white
11006,black
11007,black
11008,white
11009,black
11010,white
11011,white
11012,draw
11013,black
11014,white
11015,black
11016,white
11017,black
11018,black
11019,black
11020,black
11021,white
11022,white
11023,black
11024,draw
11025,black
11026,black
11027,white
11028,white
11029,black
11030,black
11031,white
11032,black
11033,black
11034,white
11035,white
11036,black
11037,white
11038,draw
11039,white
11040,white
11041,white
11042,white
11043,black
11044,black
11045,white
11046,white
11047,black
11048,black
11049,white
11050,white
11051,black
11052,black
11053,white
11054,black
11055,white
11056,white
11057,black
11058,black
11059,black
11060,white
11061,black
11062,draw
11063,black
11064,black
11065,white
11066,black
11067,white
11068,black
11069,white
11070,white
11071,white
11072,black
11073,black
11074,black
11075,white
11076,white
11077,white
11078,black
11079,white
11080,black
11081,black
11082,black
11083,black
11084,black
11085,black
11086,white
11087,black
11088,black
11089,black
11090,white
11091,white
11092,black
11093,black
11094,black
11095,white
11096,black
11097,white
11098,white
11099,black
11100,black
11101,white
11102,white
11103,black
11104,white
11105,black
11106,white
11107,black
11108,black
11109,black
11110,black
11111,black
11112,black
11113,white
11114,black
11115,white
11116,black
11117,white
11118,black
11119,white
11120,black
11121,white
11122,black
11123,black
11124,black
11125,white
11126,black
11127,black
11128,white
11129,white
11130,white
11131,white
11132,black
11133,black
11134,black
11135,black
11136,black
11137,white
11138,white
11139,black
11140,white
11141,draw
11142,white
11143,black
11144,black
11145,white
11146,white
11147,black
11148,black
11149,black
11150,black
11151,white
11152,white
11153,black
11154,white
11155,black
11156,white
11157,black
11158,white
11159,white
11160,black
11161,black
11162,white
11163,white
11164,black
11165,white
11166,black
11167,white
11168,black
11169,white
11170,black
11171,white
11172,black
11173,white
11174,white
11175,white
11176,black
11177,white
11178,white
11179,white
11180,white
11181,white
11182,white
11183,white
11184,white
11185,white
11186,black
11187,black
11188,white
11190,black
11191,white
11192,black
11193,black
11194,white
11195,white
11196,white
11197,white
11198,white
11199,white
11200,white
11201,black
11202,white
11203,black
11204,white
11205,white
11206,white
11207,white
11208,black
11209,white
11210,black
11211,black
11212,black
11213,black
11214,black
11215,white
11216,white
11217,black
11218,white
11219,black
11220,white
11221,white
11222,black
11223,white
11224,white
11225,white
11226,white
11227,white
11228,black
11229,draw
11230,white
11231,white
11232,draw
11233,black
11234,black
11235,white
11236,black
11237,white
11238,white
11239,white
11240,black
11241,black
11242,black
11243,black
11244,white
11245,white
11246,white
11247,white
11248,black
11249,black
11250,black
11251,white
11252,black
11253,white
11254,white
11255,black
11256,black
11257,white
11258,white
