Rated_(T/F),Number_of_Turns,Game_Status,Winner,Time_Increment,Moves,Opening_Eco,Opening_Name,Opening_Ply,Game_Duration,White_Rating_Tier,Black_Rating_Tier,Time_Per_Move,Average Time
1.0,37,1.0,white,10.0,5499,C42,Russian Game: Nimzowitsch Attack,9,0.0,0.0,0.0,0.14,0.03
1.0,73,3.0,white,10.0,3497,B21,Sicilian Defense: McDonnell Attack,3,0.0,0.0,0.0,0.23,0.01
1.0,39,3.0,white,10.0,756,A46,Indian Game: Wade-Tartakower Defense,4,0.0,0.0,0.0,0.17,0.03
1.0,48,3.0,black,10.0,2919,B32,Sicilian Defense: Open #3,7,0.0,0.0,0.0,0.2,0.02
1.0,41,3.0,white,10.0,833,D06,Queen's Gambit Refused: Marshall Defense,4,0.0,0.0,0.0,0.18,0.02
1.0,79,3.0,white,10.0,4044,B07,Pirc Defense #5,3,0.0,0.0,0.0,0.12,0.01
1.0,32,3.0,black,10.0,2913,B32,Sicilian Defense: Open #3,7,0.0,0.0,0.0,0.17,0.03
1.0,28,3.0,black,10.0,4485,C49,Four Knights Game: Double Spanish,8,0.0,0.0,3.0,0.08,0.04
1.0,52,3.0,black,10.0,395,A15,English Opening: Anglo-Indian Defense,2,0.0,2.0,0.0,0.11,0.02
1.0,48,3.0,black,10.0,3894,B01,Scandinavian Defense: Main Line,6,0.0,0.0,0.0,0.11,0.02
1.0,65,3.0,white,10.0,3338,B20,Sicilian Defense,2,0.0,0.0,0.0,0.11,0.01
1.0,84,3.0,black,10.0,3956,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,0.0,0.0,0.0,0.09,0.01
1.0,51,3.0,black,20.083333333333332,3193,B80,Sicilian Defense: Scheveningen Variation,10,0.0,0.0,0.0,0.22,0.02
0.0,48,1.0,black,10.0,2020,A40,Horwitz Defense,2,0.0,2.0,2.0,0.25,0.02
0.0,68,1.0,black,10.0,2133,C01,French Defense: Mediterranean Defense,4,0.0,2.0,2.0,0.17,0.01
0.0,130,3.0,black,18.0,567,A13,English Opening: Agincourt Defense,2,0.0,2.0,2.0,0.21,0.01
0.0,94,3.0,black,8.0,2403,A00,Van't Kruijs Opening,1,0.0,2.0,2.0,0.09,0.01
0.0,34,1.0,black,5.133333333333334,6840,A00,Grob Opening,1,0.0,2.0,2.0,0.08,0.03
0.0,46,3.0,black,5.133333333333334,457,A11,English Opening: Caro-Kann Defensive System,2,0.0,2.0,2.0,0.16,0.02
0.0,67,1.0,white,5.133333333333334,3358,B22,Sicilian Defense: Alapin Variation,3,0.0,2.0,2.0,0.15,0.01
0.0,59,3.0,white,10.016666666666667,598,E70,King's Indian Defense: Normal Variation,7,0.0,2.0,2.0,0.1,0.02
0.0,56,1.0,black,10.016666666666667,6340,C00,French Defense: Knight Variation,3,0.0,2.0,2.0,0.14,0.02
0.0,106,3.0,black,10.0,403,A15,English Opening: Anglo-Indian Defense,2,0.0,2.0,2.0,0.12,0.01
0.0,103,3.0,white,10.0,2950,B34,Sicilian Defense: Accelerated Dragon |  Modern Variation,9,0.0,2.0,2.0,0.07,0.01
0.0,75,3.0,white,3.1333333333333333,444,A11,English Opening: Caro-Kann Defensive System,2,0.0,2.0,3.0,0.06,0.01
0.0,75,3.0,white,15.0,91,A04,Zukertort Opening: Sicilian Invitation,2,0.0,2.0,2.0,0.11,0.01
0.0,34,3.0,black,10.0,6243,C00,French Defense: Knight Variation,3,0.0,2.0,2.0,0.05,0.03
0.0,54,3.0,black,10.0,565,A13,English Opening: Agincourt Defense,2,0.0,2.0,2.0,0.1,0.02
0.0,93,0.0,draw,5.133333333333334,483,A21,English Opening: King's English Variation |  Kramnik-Shirov Counterattack,4,0.0,2.0,2.0,0.09,0.01
0.0,109,3.0,white,10.0,1413,D32,Tarrasch Defense: Symmetrical Variation,10,0.0,2.0,2.0,0.1,0.01
1.0,57,1.0,white,5.133333333333334,3460,B21,Sicilian Defense: Smith-Morra Gambit #2,3,0.0,0.0,2.0,0.17,0.02
1.0,16,1.0,black,15.0,6813,A00,Hungarian Opening,1,0.0,2.0,2.0,0.18,0.06
1.0,57,1.0,white,15.0,1100,A50,Queen's Indian Accelerated,4,0.0,2.0,2.0,0.27,0.02
1.0,107,1.0,white,15.0,11,A00,Van Geet Opening: Napoleon Attack,5,0.0,0.0,2.0,0.24,0.01
1.0,121,3.0,white,15.0,5013,C55,Italian Game: Two Knights Defense #2,8,0.0,2.0,2.0,0.19,0.01
1.0,18,1.0,black,15.0,4887,C50,Italian Game: Schilling-Kostic Gambit,6,0.0,2.0,2.0,0.21,0.06
1.0,90,3.0,black,15.0,1589,D31,Semi-Slav Defense: Accelerated Move Order,6,0.0,2.0,2.0,0.26,0.01
