,Game_ID,Rated_(T/F),Number_of_Turns,Game_Status,Winner,Time_Increment,Moves,Opening_Eco,Opening_Ply,Game_Duration,Elo_Difference,Duration_Category,Opening,Time_Per_Move,White_Rating_Tier,Black_Rating_Tier,Average Time
4043,c6bXLoQK,False,65,outoftime,white,180+0,g3 g6 Bg2 Nf6 Nf3 Bg7 e4 O-O e5 Ng4 O-O Nxe5 Nxe5 Bxe5 Qe2 Bg7 Re1 e6 b3 Qe7 Nc3 Nc6 Qe3 f5 Re2 Ne5 Nd5 exd5 Bb2 d6 d4 Nf3+ Bxf3 Qxe3 Bxd5+ Rf7 Rxe3 Bd7 Bxf7+ Kxf7 Rae1 Rf8 Re7+ Kg8 Rxd7 Rf7 Re8+ Rf8 Rxf8+ Bxf8 d5 c6 dxc6 bxc6 Rxa7 d5 c4 dxc4 bxc4 c5 Ra5 g5 Ba3 f4 Bxc5,A00,2,333.33,147,Medium,Hungarian Opening: Symmetrical Variation,5.13,Intermediate,Beginner,0.02
9287,cr5iuIrQ,True,3,outoftime,white,6+8,e4 d5 e5,B01,2,9.26,97,Short,Scandinavian Defense,3.09,Intermediate,Intermediate,0.33
9288,FtVjeTvc,False,50,mate,black,19+30,d4 d5 Nc3 Nf6 Nf3 e6 e4 dxe4 Ne5 c5 Bg5 cxd4 Nxe4 Qd5 Bxf6 Qxe4+ Be2 gxf6 Nf3 Bb4+ Nd2 Qxg2 Bb5+ Bd7 a3 Bxb5 axb4 Qxh1+ Nf1 Qxf1+ Kd2 Qxf2+ Kc1 Rg8 Qd2 Rg1+ Qd1 Qe3+ Kb1 Rxd1+ Ka2 Bc4+ b3 Rxa1+ Kxa1 Qc1+ Ka2 Qxc2+ Ka3 Qxb3#,D01,4,15.27,-235,Short,Queen's Pawn Game: Chigorin Variation,0.31,Intermediate,Intermediate,0.02
9289,qblESqQn,False,30,mate,black,19+30,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 d5 dxe5 dxe4 exf6 exf3 Qxf3 Qxf6 Qe3+ Be7 Bb5 Bd7 O-O Nb4 Bxd7+ Kxd7 Rd1+ Bd6 Nd5 Nxd5 Rxd5 Rae8 Qxa7 Re1#,C47,7,14.76,235,Short,Four Knights Game: Scotch Variation,0.49,Intermediate,Intermediate,0.03
9290,SeWWAAH8,False,50,mate,black,19+30,e3 e5 Nf3 Nc6 h4 Nf6 Bc4 d5 Bd3 e4 Bb5 exf3 gxf3 Bd7 c3 a6 Bxc6 Bxc6 Rg1 Nh5 Qe2 Bd6 e4 O-O exd5 Re8 Qxe8+ Qxe8+ Kd1 Bxd5 d4 Bxf3+ Kc2 Qe2+ Nd2 Be4+ Kb3 Bd5+ c4 Bc6 c5 Qb5+ Kc2 Bf4 Nb3 Qc4+ Kd1 Bf3+ Ke1 Qe2#,A00,1,13.52,-235,Short,Van't Kruijs Opening,0.27,Intermediate,Intermediate,0.02
9291,niw2zjOi,True,10,outoftime,black,8+0,e4 d5 c3 dxe4 a4 Nf6 h4 Bg4 Qb3 b6,B01,2,8.5,-475,Short,Scandinavian Defense,0.85,Beginner,Intermediate,0.1
9292,ihAlSQ2i,True,21,mate,white,8+4,e4 e5 Nf3 Nf6 Nxe5 Nxe4 Qf3 Ke7 Qxf7+ Kd6 Nc4+ Kc6 Ne5+ Kd6 Nc4+ Kc5 Qf5+ Kd4 c3+ Nxc3 dxc3#,C42,6,3.34,316,Short,Russian Game: Damiano Variation,0.16,Intermediate,Beginner,0.05
9293,b21epG0r,True,20,mate,black,8+4,a4 a6 c4 Nc6 b3 e6 h4 Qf6 Nc3 Bb4 Bb2 Ne5 e4 h5 g3 Ng4 f3 Bc5 fxg4 Qf2#,A00,1,2.68,-280,Short,Ware Opening,0.13,Beginner,Intermediate,0.05
9294,WiuVyh8F,True,43,mate,white,8+8,d4 b5 e4 d5 e5 h5 Bxb5+ c6 Ba4 Bd7 Nc3 f5 Bg5 Rh6 h4 g6 Bxh6 Nxh6 Qd3 e6 Qg3 Na6 Qxg6+ Ke7 Qxh5 Nb4 Bb3 Nd3+ cxd3 Bg7 Nf3 a5 Na4 Rb8 Nc5 Rb5 Ng5 Rb4 O-O Rxd4 g3 Ng8 Qf7#,A40,2,10.59,-34,Short,Polish Defense,0.25,Intermediate,Intermediate,0.02
9295,aKZVsxi7,True,29,resign,white,5+8,e4 e5 d4 Bd6 dxe5 Bxe5 Nf3 Bd6 Nc3 Nf6 e5 Bc5 exf6 Qxf6 Qe2+ Be7 Bg5 Qd6 Rd1 Qe6 Bxe7 Qxe7 Nd5 Qxe2+ Bxe2 O-O Nxc7 Nc6 Nxa8,C21,3,7.53,407,Short,Center Game #2,0.26,Advanced,Intermediate,0.03
9296,FHk2N3wj,True,34,mate,black,12+0,d4 Nc6 d5 Nb4 e4 c6 Qd3 Nxd3+ Bxd3 cxd5 exd5 g6 h4 Bg7 Rh3 Nf6 Re3 Nxd5 Rxe7+ Nxe7 Nd2 O-O g4 Re8 Kd1 Qc7 c4 Nc6 c5 Nb4 c6 Qxc6 Ba6 Qc2#,A40,2,10.08,139,Short,Mikenas Defense,0.3,Intermediate,Intermediate,0.03
9297,mA1wYS13,True,40,mate,black,12+20,e4 e5 Qf3 Nc6 c3 Nf6 Bc4 d6 g4 Bxg4 Qg3 Qd7 f3 Be6 Ne2 Nh5 Qh4 g6 b3 Be7 Qf2 Bxc4 bxc4 Qh3 Qg1 Bh4+ Kd1 Qxf3 Qf1 Bf2 d4 exd4 Nd2 Qe3 Rb1 dxc3 Nb3 Qd3+ Nd2 c2#,C20,3,22.65,-74,Short,King's Pawn Game: Napoleon Attack,0.57,Intermediate,Intermediate,0.03
9298,qmEKgMQ7,True,63,outoftime,white,15+0,b4 d5 d4 g6 c3 Bg7 Nf3 Nc6 Bf4 f6 h3 e5 dxe5 fxe5 Bc1 Be6 e3 Qd6 Bb5 O-O-O Qa4 Kb8 Ng5 Nh6 Be2 Bd7 Qb3 Rhf8 Nf3 e4 Ng5 Rxf2 Kxf2 Qf6+ Ke1 Qxg5 g4 Rf8 Na3 Qh4+ Kd2 Be6 Qa4 Nxg4 Bb2 Qg5 hxg4 Bxg4 Rhg1 Ne5 Qb3 Nf3+ Bxf3 Rxf3 Nc2 Rf2+ Kc1 Qh4 Ba3 Be2 Re1 Bc4 Qa4,A00,1,24.71,-71,Short,Polish Opening,0.39,Intermediate,Intermediate,0.02
9299,czcRknBI,True,41,resign,white,15+5,e4 e5 Nf3 d6 Nc3 g6 d4 f6 dxe5 fxe5 Bc4 Nf6 Bg5 Nc6 Bxf6 Qxf6 Qd5 Nd8 Nb5 Qg7 Qd2 Be6 Bxe6 Nxe6 O-O-O O-O-O Nxa7+ Kb8 Nb5 Qd7 Qa5 Qxb5 Qxb5 Bh6+ Kb1 Rhf8 Rd3 b6 Qc6 Rf4 Ra3,C41,4,12.09,-118,Short,Philidor Defense #2,0.29,Intermediate,Intermediate,0.02
9300,Prg0wpcq,True,19,resign,black,10+8,e4 e5 Nf3 Nc6 Nc3 d6 d3 f5 exf5 Bxf5 h3 Qd7 Ng5 O-O-O Nge4 d5 Nc5 Bxc5 Be2,C46,5,2.78,-172,Short,Three Knights Opening,0.15,Intermediate,Intermediate,0.05
9301,Edq8Rhf8,True,65,resign,white,45+0,e4 e5 Nf3 d6 d3 Nc6 c4 f5 Be2 b6 Nc3 Qe7 Bg5 Qf7 O-O Bd7 Nd5 Rc8 b4 h6 Bd2 Nf6 a3 fxe4 Nxf6+ gxf6 dxe4 Qg6 Bd3 Bh3 Nh4 Qg8 Qh5+ Kd8 Ng6 Bxg2 Kxg2 Nd4 Kh1 Rh7 Nxf8 Qxf8 Be2 Nxe2 Qxe2 Qf7 Rg1 Ke7 b5 f5 exf5 Qxf5 Qg4 Qxf2 Qxc8 Qxd2 Qxc7+ Ke8 Qxh7 Qf4 Rg8+ Qf8 Rxf8+ Kxf8 Rf1+,C41,4,23.8,201,Short,Philidor Defense #2,0.37,Advanced,Intermediate,0.02
