,Average Time,Game_Duration,Time_Per_Move,Number_of_Turns
4043,0.02,333.33,5.13,65
9287,0.33,9.26,3.09,3
9288,0.02,15.27,0.31,50
9289,0.03,14.76,0.49,30
9290,0.02,13.52,0.27,50
9291,0.1,8.5,0.85,10
9292,0.05,3.34,0.16,21
9293,0.05,2.68,0.13,20
9294,0.02,10.59,0.25,43
9295,0.03,7.53,0.26,29
9296,0.03,10.08,0.3,34
9297,0.03,22.65,0.57,40
9298,0.02,24.71,0.39,63
9299,0.02,12.09,0.29,41
9300,0.05,2.78,0.15,19
9301,0.02,23.8,0.37,65
9302,0.01,19.39,0.21,93
9303,0.01,17.88,0.23,78
9304,0.03,16.4,0.43,38
9305,0.03,14.05,0.44,32
9306,0.02,22.03,0.39,56
9307,0.03,13.61,0.4,34
9308,0.01,22.48,0.22,101
9309,0.01,37.37,0.5,74
9310,0.02,23.31,0.38,62
9311,0.02,11.24,0.19,60
9312,0.05,5.82,0.31,19
9313,0.04,9.18,0.38,24
9314,0.01,14.16,0.21,66
9315,0.02,14.0,0.26,53
9316,0.03,6.14,0.21,29
9317,0.01,13.11,0.14,93
9318,0.05,6.29,0.31,20
9319,0.03,5.09,0.15,35
9320,0.02,9.82,0.24,41
9321,0.01,31.21,0.45,69
9322,0.02,10.83,0.18,61
9323,0.03,5.01,0.17,30
9324,0.03,6.69,0.19,35
9325,0.02,10.92,0.27,41
9326,0.02,14.43,0.24,60
9327,0.03,9.06,0.3,30
9328,0.02,15.2,0.25,62
9329,0.01,22.15,0.33,67
9330,0.02,12.82,0.29,44
9331,0.02,9.85,0.24,41
9332,0.02,12.55,0.25,50
9333,0.01,15.85,0.21,74
9334,0.01,14.94,0.16,94
9335,0.02,13.8,0.21,66
9336,0.03,7.69,0.23,34
9338,0.02,19.77,0.49,40
9339,0.02,49.28,0.9,55
9340,0.04,7.9,0.34,23
9341,0.01,26.24,0.3,88
9342,0.02,13.94,0.32,43
9343,0.03,4.36,0.15,29
9344,0.03,7.47,0.26,29
9345,0.02,19.16,0.37,52
9346,0.02,14.74,0.26,57
9348,0.04,6.26,0.26,24
9350,0.01,14.72,0.22,66
9351,0.02,14.87,0.23,66
9352,0.01,26.87,0.27,99
9353,0.03,5.11,0.15,35
9354,0.02,8.67,0.16,54
9355,0.02,10.73,0.22,49
9356,0.03,5.1,0.14,37
9357,0.01,11.94,0.15,81
9358,0.02,11.14,0.18,63
9359,0.02,4.49,0.09,52
9360,0.02,9.19,0.18,52
9361,0.02,19.94,0.31,64
9362,0.02,5.62,0.12,46
9363,0.02,13.72,0.32,43
9365,0.01,4.84,0.07,69
9366,0.01,17.05,0.22,79
9367,0.02,12.83,0.27,47
9368,0.03,31.94,0.8,40
9369,0.02,25.63,0.44,58
9370,0.01,38.41,0.36,106
9371,0.01,32.8,0.44,74
9372,0.02,20.98,0.43,49
9373,0.03,8.27,0.21,40
9374,0.02,7.81,0.18,44
9375,0.03,7.22,0.19,39
9376,0.01,35.23,0.31,113
9377,0.01,13.52,0.2,67
9378,0.01,37.85,0.51,74
9379,0.02,16.49,0.27,62
9380,0.03,8.83,0.28,31
9381,0.01,41.64,0.48,87
9382,0.01,26.09,0.24,109
9383,0.01,36.21,0.27,136
9384,0.02,30.48,0.55,55
9385,0.01,47.3,0.36,131
9386,0.02,37.98,0.58,65
9387,0.01,25.19,0.26,97
9388,0.1,1.72,0.17,10
9389,0.02,13.55,0.25,55
9390,0.02,28.97,0.59,49
9391,0.02,25.6,0.39,65
9392,0.03,21.27,0.73,29
9393,0.02,20.72,0.37,56
9394,0.02,28.64,0.44,65
9395,0.01,38.48,0.31,124
9396,0.01,18.55,0.19,100
9397,0.01,16.83,0.24,70
9398,0.02,18.89,0.34,55
9399,0.03,9.82,0.3,33
9400,0.01,24.24,0.22,110
9401,0.02,23.25,0.42,55
9402,0.02,12.74,0.29,44
9403,0.01,31.53,0.44,72
9404,0.01,32.44,0.48,67
9405,0.02,21.56,0.46,47
9406,0.05,4.65,0.22,21
9407,0.05,2.89,0.15,19
9408,0.02,18.21,0.29,63
9409,0.03,6.44,0.17,37
9410,0.03,5.73,0.19,30
9411,0.01,11.48,0.14,82
9412,0.04,3.91,0.15,26
9413,0.02,24.69,0.5,49
9414,0.03,8.63,0.24,36
9415,0.01,15.93,0.23,68
9417,0.1,12.57,1.26,10
9418,0.07,2.92,0.19,15
9419,0.1,12.14,1.21,10
9420,0.06,331.07,20.69,16
9421,0.06,204.76,11.38,18
9422,0.04,4.86,0.19,26
9423,0.06,2.79,0.16,17
9424,0.01,37.33,0.33,112
9425,0.01,9.05,0.11,84
9426,0.02,9.05,0.21,44
9427,0.01,5.86,0.07,84
9428,0.05,2.47,0.13,19
9429,0.02,9.72,0.18,55
9430,0.01,17.15,0.23,73
9431,0.03,6.57,0.17,39
9432,0.02,9.72,0.2,48
9433,0.02,7.45,0.18,41
9434,0.01,9.58,0.12,79
9435,0.03,5.32,0.17,32
9436,0.04,2.28,0.08,28
9437,0.02,5.62,0.11,52
9438,0.02,5.21,0.11,48
9439,0.01,7.42,0.11,65
9440,0.01,7.76,0.09,84
9441,0.02,11.33,0.22,51
9442,0.05,1.33,0.07,18
9443,0.33,2.03,0.68,3
9444,0.04,4.57,0.18,25
9445,0.01,11.07,0.14,78
9446,0.05,1.88,0.09,20
9447,0.02,11.1,0.18,61
9448,0.05,2.35,0.11,21
9449,0.02,15.21,0.32,47
9450,0.01,19.98,0.25,80
9451,0.01,11.95,0.14,88
9452,0.02,9.45,0.16,59
9453,0.03,2.79,0.08,35
9454,0.02,10.58,0.25,43
9455,0.03,3.06,0.08,37
9456,0.01,15.47,0.15,101
9457,0.02,6.44,0.1,63
9458,0.01,9.75,0.08,122
9459,0.01,8.18,0.1,78
9460,0.02,8.8,0.16,56
9461,0.01,9.33,0.13,73
9462,0.01,15.55,0.14,111
9463,0.02,5.55,0.12,45
9464,0.01,15.11,0.21,72
9465,0.06,2.13,0.13,17
9466,0.01,12.1,0.18,69
9467,0.01,11.09,0.14,82
9468,0.06,1.65,0.1,16
9469,0.01,5.29,0.06,93
9470,0.02,8.23,0.15,54
9471,0.02,6.92,0.13,55
9472,0.02,4.85,0.09,57
9473,0.01,32.18,0.42,77
9474,0.02,38.51,0.62,62
9475,0.02,19.32,0.35,56
9476,0.03,12.05,0.31,39
9477,0.07,10.31,0.69,15
9478,0.02,9.16,0.17,53
9479,0.01,40.57,0.48,85
9480,0.03,14.74,0.48,31
9481,0.02,17.15,0.31,55
9482,0.01,19.49,0.24,81
9483,0.01,30.27,0.45,67
9484,0.03,10.58,0.29,37
9485,0.02,23.2,0.5,46
9486,0.02,15.37,0.27,56
9488,0.02,8.83,0.17,52
9489,0.06,1.3,0.08,16
9490,0.01,11.87,0.16,75
9491,0.02,12.05,0.25,48
9492,0.01,11.77,0.17,68
9493,0.01,27.42,0.21,130
9494,0.01,8.23,0.09,94
9495,0.02,8.04,0.17,46
9496,0.03,2.56,0.08,34
9497,0.02,7.26,0.16,46
9498,0.01,10.14,0.15,67
9499,0.02,6.18,0.1,59
9500,0.02,7.83,0.14,56
9501,0.01,12.86,0.12,106
9502,0.01,7.11,0.07,103
9503,0.01,4.84,0.06,75
9504,0.01,8.58,0.11,75
9505,0.03,1.86,0.05,34
9506,0.02,5.62,0.1,54
9507,0.01,8.55,0.09,93
9508,0.01,10.54,0.1,109
9509,0.02,9.92,0.17,57
9510,0.02,18.75,0.34,55
9511,0.02,6.03,0.11,53
9512,0.02,9.57,0.2,48
9513,0.02,12.07,0.23,52
9514,0.01,16.78,0.18,92
9515,0.01,27.78,0.26,105
9516,0.02,20.59,0.37,55
9517,0.03,10.18,0.27,38
9518,0.02,6.27,0.15,41
9519,0.01,7.58,0.1,75
9520,0.01,30.63,0.27,113
9521,0.25,1.08,0.27,4
9522,0.03,8.39,0.23,36
9523,0.03,7.66,0.21,36
9524,0.04,4.38,0.16,27
9525,0.04,4.89,0.18,27
9526,0.03,11.14,0.3,37
9527,0.02,8.81,0.18,49
9528,0.06,2.95,0.18,16
9529,0.02,15.27,0.27,57
9530,0.01,25.79,0.24,107
9531,0.01,22.71,0.19,121
9532,0.06,3.74,0.21,18
9533,0.01,23.4,0.26,90
9534,0.02,11.61,0.24,49
9535,0.02,15.8,0.26,61
9536,0.02,10.33,0.16,66
